job_id,title,company_type,location,job_type,source,salary_lpa,experience_years,skills,posted_date
J1001,DevOps Engineer,Enterprise,Bengaluru,Full-time,Naukri,9.7,0,Linux;CI/CD,2026-01-29
J1002,Frontend Developer,Startup,Bengaluru,Full-time,Wellfound,7.3,4,JavaScript;CSS,2026-01-08
J1003,Data Scientist,Startup,Delhi NCR,Full-time,LinkedIn,12.7,3,Python;Statistics,2026-03-13
J1004,Data Analyst,Mid-size,Mumbai,Internship,Naukri,5.7,4,SQL;Power BI;Excel;Tableau,2026-01-25
J1005,Data Scientist,Enterprise,Bengaluru,Full-time,Naukri,11.2,0,Machine Learning;Python;Pandas;Statistics,2026-08-15
J1006,Data Analyst,Startup,Hyderabad,Full-time,LinkedIn,7.7,0,Power BI;Python;Pandas;SQL,2026-06-12
J1007,Data Analyst,Enterprise,Mumbai,Full-time,LinkedIn,6.8,0,Python;SQL;Excel;Pandas,2026-04-08
J1008,Full Stack Developer,Enterprise,Chennai,Full-time,Naukri,7.8,5,Node.js;SQL;MongoDB,2026-01-17
J1009,Backend Developer,Enterprise,Mumbai,Contract,LinkedIn,5.5,1,AWS;Docker;Node.js;REST APIs,2026-07-10
J1010,UI/UX Designer,Enterprise,Bengaluru,Internship,Wellfound,4.9,5,Adobe XD;User Research;Wireframing,2026-01-29
J1011,UI/UX Designer,Enterprise,Remote,Internship,Naukri,4.7,2,Wireframing;Prototyping,2026-01-03
J1012,Data Analyst,Enterprise,Delhi NCR,Full-time,LinkedIn,6.1,1,Python;Excel;Pandas;Power BI,2026-01-01
J1013,UI/UX Designer,Enterprise,Hyderabad,Full-time,Indeed,7.4,2,Prototyping;Figma,2026-08-25
J1014,Backend Developer,Startup,Delhi NCR,Internship,Indeed,7.7,1,Python;PostgreSQL,2026-08-13
J1015,Data Analyst,Mid-size,Pune,Full-time,Indeed,7.6,1,Pandas;Excel;Tableau,2026-05-21
J1016,DevOps Engineer,Mid-size,Remote,Full-time,LinkedIn,5.4,0,Linux;Terraform;Kubernetes;AWS,2026-06-16
J1017,Backend Developer,Enterprise,Mumbai,Full-time,Indeed,10.0,0,AWS;Python,2026-01-02
J1018,Full Stack Developer,Startup,Pune,Internship,Indeed,9.0,1,TypeScript;MongoDB;Node.js;React;SQL,2026-06-21
J1019,DevOps Engineer,Mid-size,Hyderabad,Contract,LinkedIn,9.6,0,Docker;CI/CD;AWS;Terraform,2026-04-21
J1020,Backend Developer,Enterprise,Hyderabad,Full-time,LinkedIn,5.7,0,Docker;AWS;Node.js,2026-02-19
J1021,Frontend Developer,Startup,Remote,Contract,LinkedIn,5.9,1,Tailwind;CSS,2026-06-16
J1022,Frontend Developer,Startup,Remote,Full-time,Naukri,5.7,4,Redux;Tailwind;HTML;CSS;React,2026-02-12
J1023,Backend Developer,Startup,Mumbai,Full-time,Naukri,4.4,5,AWS;REST APIs;Python,2026-03-17
J1024,Frontend Developer,Startup,Bengaluru,Full-time,Indeed,5.4,1,HTML;Tailwind,2026-05-11
J1025,Frontend Developer,Mid-size,Mumbai,Full-time,LinkedIn,4.6,3,JavaScript;TypeScript,2026-06-08
J1026,Data Analyst,Mid-size,Hyderabad,Internship,LinkedIn,5.3,0,SQL;Power BI;Python;Excel,2026-02-03
J1027,Full Stack Developer,Startup,Chennai,Full-time,LinkedIn,10.8,2,AWS;MongoDB;React;SQL,2026-02-03
J1028,UI/UX Designer,Enterprise,Bengaluru,Contract,LinkedIn,7.4,1,User Research;Adobe XD;Wireframing;Figma,2026-05-22
J1029,DevOps Engineer,Enterprise,Mumbai,Full-time,Wellfound,11.3,0,Docker;CI/CD;AWS,2026-03-29
J1030,Frontend Developer,Startup,Mumbai,Full-time,Naukri,6.3,4,HTML;React;Redux;Tailwind,2026-01-01
J1031,DevOps Engineer,Enterprise,Bengaluru,Full-time,Wellfound,8.0,0,AWS;Terraform;Docker,2026-08-20
J1032,Full Stack Developer,Enterprise,Bengaluru,Internship,Indeed,7.8,1,Node.js;MongoDB;AWS,2026-02-23
J1033,Data Analyst,Enterprise,Remote,Internship,Wellfound,6.3,1,Excel;Python;SQL,2026-01-07
J1034,Data Analyst,Mid-size,Bengaluru,Internship,Wellfound,4.5,1,Python;SQL,2026-08-12
J1035,DevOps Engineer,Mid-size,Bengaluru,Full-time,Naukri,7.5,4,Terraform;Linux;AWS;Docker;CI/CD,2026-02-19
J1036,Full Stack Developer,Startup,Bengaluru,Full-time,Naukri,7.2,0,TypeScript;AWS;Node.js;MongoDB,2026-02-15
J1037,Frontend Developer,Startup,Pune,Internship,Naukri,8.6,1,TypeScript;CSS;React;Tailwind;Redux,2026-07-01
J1038,Full Stack Developer,Enterprise,Remote,Full-time,Naukri,7.3,2,AWS;Node.js,2026-06-19
J1039,Backend Developer,Enterprise,Delhi NCR,Full-time,Wellfound,6.8,0,SQL;REST APIs;Python;Docker;PostgreSQL,2026-04-18
J1040,Data Scientist,Mid-size,Hyderabad,Full-time,Wellfound,11.3,1,Statistics;Python;SQL;Pandas,2026-06-17
J1041,DevOps Engineer,Startup,Chennai,Internship,Naukri,6.6,1,Kubernetes;Docker;Linux;CI/CD,2026-06-12
J1042,Data Analyst,Mid-size,Hyderabad,Full-time,LinkedIn,6.5,5,Tableau;Python,2026-06-06
J1043,Backend Developer,Startup,Delhi NCR,Full-time,Naukri,8.9,5,Node.js;AWS,2026-06-17
